DATE_FOR,RTD_ST_CD,CustomerSegment,Tenure,Age,MART_STATUS,GENDER,CHANNEL1_6M,CHANNEL2_6M,CHANNEL3_6M,CHANNEL4_6M,CHANNEL5_6M,METHOD1_6M,RECENT_PAYMENT,PAYMENTS_6M,CHANNEL1_3M,CHANNEL2_3M,CHANNEL3_3M,CHANNEL4_3M,CHANNEL5_3M,METHOD1_3M,PAYMENTS_3M,NOT_DI_3M,NOT_DI_6M,EVENT1_30_FLAG,EVENT2_90_SUM,LOGINS,POLICYPURCHASECHANNEL,Call_Flag
5/15/2014,ST_S9,1,16.150582,54.546201,MS_S2,F,0,0,4,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5/17/2014,ST_S1,1,16.095825,59.301848,MS_S2,M,0,0,0,1,6,1,0,7,0,0,0,1,3,1,4,0,0,0,1,0,0,0
5/16/2014,ST_S1,1,16.07666,62.707734,MS_S1,M,0,0,6,0,0,0,0,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0
5/15/2014,ST_S7,1,17.185489,65.689254,MS_S2,M,0,4,0,0,0,1,0,4,0,2,0,0,0,1,2,0,0,0,0,0,0,0
5/18/2014,ST_S3,1,16.260096,52.706365,MS_S2,M,0,4,0,1,0,0,1,5,0,2,0,1,0,0,3,0,0,0,0,0,0,0
5/20/2014,ST_S7,1,16.249144,41.867214,MS_S2,M,0,0,0,0,6,0,0,6,0,0,0,0,3,0,3,0,0,0,0,0,0,0
5/20/2014,ST_S0,1,14.806297,69.979466,MS_S2,M,0,5,0,0,0,0,0,5,0,2,0,0,0,0,2,0,0,0,0,0,0,0
5/17/2014,ST_S8,1,13.968515,53.629021,MS_S2,M,0,0,6,0,0,0,0,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0
5/20/2014,ST_S10,1,13.91102,51.622177,MS_S2,M,0,0,5,0,0,0,0,5,0,0,3,0,0,0,3,0,0,0,0,0,0,0
5/16/2014,ST_S11,1,14.710472,42.855578,MS_S1,M,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,2,0,0
5/19/2014,ST_S7,1,15.15948,42.683094,MS_S2,M,0,0,0,0,6,0,0,6,0,0,0,0,3,0,3,0,0,0,0,0,0,0
5/20/2014,ST_S7,1,15.92334,51.895962,MS_S2,M,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/18/2014,ST_S7,1,16.010951,71.909651,MS_S2,M,0,0,0,0,6,0,0,6,0,0,0,0,3,0,3,0,0,0,0,0,0,0
5/17/2014,ST_S12,1,16.342231,45.158111,MS_S1,F,0,0,0,0,6,0,0,6,0,0,0,0,3,0,3,0,0,0,0,0,0,0
5/18/2014,ST_S7,1,16.093087,66.910335,MS_S2,F,0,6,0,0,0,6,0,6,0,3,0,0,0,3,3,0,0,0,0,0,0,0
5/14/2014,ST_S13,1,16.030116,43.019849,MS_S2,M,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,1,1,0,0
5/17/2014,ST_S0,1,16.095825,50.255989,MS_S2,M,0,0,0,0,7,0,0,7,0,0,0,0,4,0,4,0,0,0,0,0,0,0
5/18/2014,ST_S14,1,16.17796,51.312799,MS_S2,F,0,0,6,0,0,0,0,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0
5/13/2014,ST_S3,1,16.290212,46.105407,MS_S1,F,0,5,0,0,0,0,1,5,0,3,0,0,0,0,3,0,0,0,0,0,0,0
5/18/2014,ST_S3,1,18.907598,50.872005,MS_S1,F,0,6,0,0,0,0,1,6,0,3,0,0,0,0,3,0,0,0,2,0,0,0
5/16/2014,ST_S1,1,20.43258,41.160849,MS_S2,M,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5/16/2014,ST_S15,1,15.756331,60.208077,MS_S1,F,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0
5/14/2014,ST_S0,1,16.109514,62.384668,MS_S2,M,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/20/2014,ST_S8,1,20.922656,58.995209,MS_S2,M,0,0,6,0,0,0,0,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0
5/13/2014,ST_S0,1,16.024641,48.832307,MS_S2,M,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/16/2014,ST_S3,1,16.016427,57.368925,MS_S4,M,0,0,0,0,5,0,0,5,0,0,0,0,2,0,2,0,0,0,1,0,0,0
5/19/2014,ST_S16,1,38.926762,59.405886,MS_S1,F,0,6,0,0,0,0,0,6,0,2,0,0,0,0,2,0,0,0,0,0,0,0
5/18/2014,ST_S17,1,16.093087,57.136208,MS_S1,F,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,1,0,0
5/17/2014,ST_S18,1,18.932238,42.26694,MS_S2,F,0,5,0,1,0,0,0,6,0,3,0,0,0,0,3,0,0,0,0,0,0,0
5/17/2014,ST_S8,1,17.429158,50.056126,MS_S4,F,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/20/2014,ST_S3,1,19.92334,81.149897,MS_S2,M,0,0,0,1,5,1,1,6,0,0,0,0,2,0,2,0,0,0,0,1,0,0
5/19/2014,ST_S6,1,16.175222,46.518823,MS_S2,F,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,1,0,0
5/18/2014,ST_S17,1,16.210815,56.005476,MS_S2,F,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,1,0,0
5/20/2014,ST_S0,1,15.449692,61.330595,MS_S1,F,0,0,0,0,5,0,0,5,0,0,0,0,2,0,2,0,0,0,0,0,0,0
5/19/2014,ST_S2,1,16.175222,52.898015,MS_S1,F,0,0,5,0,0,0,0,5,0,0,3,0,0,0,3,0,0,0,0,0,0,0
5/13/2014,ST_S0,1,15.824778,54.236824,MS_S3,F,0,3,0,1,0,0,0,4,0,2,0,1,0,0,3,0,0,0,0,0,0,0
5/13/2014,ST_S3,1,15.967146,72.205339,MS_S3,F,0,0,5,0,0,0,0,5,0,0,3,0,0,0,3,0,0,0,0,0,0,0
5/18/2014,ST_S3,1,16.093087,43.624914,MS_S2,F,0,0,0,0,6,0,0,6,0,0,0,0,3,0,3,0,0,0,0,1,0,0
5/14/2014,ST_S0,1,16.002738,63.403149,MS_S2,F,0,6,0,0,0,5,0,6,0,3,0,0,0,3,3,0,0,0,0,1,0,0
5/19/2014,ST_S0,1,15.934292,42.685832,MS_S2,M,0,5,1,0,0,5,0,6,0,3,0,0,0,3,3,0,0,0,0,0,0,0
5/14/2014,ST_S8,1,16.246407,40.629706,MS_S2,M,0,0,0,4,0,3,0,6,0,0,0,2,0,1,3,0,0,0,0,0,0,0
5/16/2014,ST_S0,1,16.183436,52.276523,MS_S2,F,0,0,6,0,0,0,0,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0
5/16/2014,ST_S0,1,16.112252,53.727584,MS_S2,F,0,4,0,0,0,4,0,4,0,3,0,0,0,3,3,0,0,0,1,0,0,0
5/16/2014,ST_S0,1,16.188912,51.909651,MS_S1,M,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/19/2014,ST_S7,1,16.602327,49.68104,MS_S0,F,0,6,0,0,0,6,0,6,0,3,0,0,0,3,3,0,0,0,0,0,0,0
5/20/2014,ST_S0,1,16.005476,60.898015,MS_S0,F,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/17/2014,ST_S1,1,16.095825,64.958248,MS_S1,M,0,6,0,0,0,0,0,6,0,3,0,0,0,0,3,0,0,0,0,0,0,0
5/16/2014,ST_S4,1,16.016427,58.091718,MS_S2,M,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/13/2014,ST_S14,1,16.095825,50.995209,MS_S1,M,0,0,0,0,4,0,0,4,0,0,0,0,2,0,2,0,0,0,0,1,0,0
5/20/2014,ST_S19,3,16.136893,53.451061,MS_S3,M,6,0,0,1,0,7,0,7,3,0,0,1,0,4,4,1,1,0,0,0,0,0
5/17/2014,ST_S0,1,16.095825,59.441478,MS_S2,F,0,0,6,0,0,0,1,6,0,0,3,0,0,0,3,0,0,0,1,0,0,0
5/17/2014,ST_S0,1,15.181383,59.690623,MS_S2,F,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,2,0,0
5/16/2014,ST_S15,1,16.260096,68.84052,MS_S2,M,0,0,0,0,1,0,1,6,0,0,0,0,0,0,3,0,0,0,0,2,0,0
5/16/2014,ST_S3,1,16.180698,38.65024,MS_S2,M,0,0,0,2,0,0,0,6,0,0,0,0,0,0,2,0,0,0,1,2,0,0
5/17/2014,ST_S3,1,16.284736,52.925394,MS_S2,F,1,0,0,0,0,3,0,7,0,0,0,0,0,2,3,0,1,0,0,1,0,0
5/14/2014,ST_S0,1,15.983573,40.005476,MS_S2,F,0,5,0,1,0,0,0,6,0,2,0,1,0,0,3,0,0,0,0,0,0,0
5/20/2014,ST_S20,1,16.172485,51.901437,MS_S2,F,0,0,0,0,7,0,0,7,0,0,0,0,3,0,3,0,0,0,0,0,0,0
5/19/2014,ST_S7,1,16.175222,40.889802,MS_S2,F,0,0,0,0,6,0,0,6,0,0,0,0,3,0,3,0,0,0,0,0,0,0
5/15/2014,ST_S3,1,16.186174,42.874743,MS_S2,M,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,1,0,0
5/16/2014,ST_S21,1,16.112252,58.592745,MS_S2,F,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0
5/15/2014,ST_S0,1,16.150582,69.817933,MS_S1,F,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5/15/2014,ST_S3,1,16.1013,68.602327,MS_S2,M,0,5,0,1,0,0,0,6,0,3,0,0,0,0,3,0,0,0,0,0,0,0
5/18/2014,ST_S17,1,18.757016,63.59206,MS_S2,M,0,4,0,0,0,0,0,4,0,3,0,0,0,0,3,0,0,0,0,0,0,0
5/19/2014,ST_S22,1,23.252567,59.132101,MS_S2,M,0,6,0,0,0,0,0,6,0,3,0,0,0,0,3,0,0,0,0,0,0,0
5/20/2014,ST_S0,1,49.927447,65.42642,MS_S2,M,0,0,6,0,0,0,1,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0
5/14/2014,ST_S0,1,15.939767,50.045175,MS_S2,F,0,0,0,0,6,0,0,6,0,0,0,0,3,0,3,0,0,0,0,0,0,0
5/20/2014,ST_S23,1,15.890486,43.882272,MS_S2,M,0,0,0,0,4,1,0,5,0,0,0,0,2,1,3,0,0,0,0,0,0,0
5/20/2014,ST_S24,1,19.693361,69.445585,MS_S2,F,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,2,0,0
5/16/2014,ST_S9,1,39.934292,94.800821,MS_S0,F,0,0,6,0,0,0,0,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0
5/15/2014,ST_S7,1,16.271047,84.251882,MS_S2,M,0,0,5,2,0,0,1,7,0,0,2,1,0,0,3,0,0,0,0,0,0,0
5/19/2014,ST_S7,1,16.251882,60.780287,MS_S3,F,0,0,0,0,5,0,0,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0
5/15/2014,ST_S11,1,16.071184,57.831622,MS_S1,F,0,0,0,0,1,0,0,6,0,0,0,0,0,0,3,0,0,0,0,3,0,0
5/14/2014,ST_S9,1,16.188912,48.180698,MS_S1,F,0,1,0,0,3,0,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0
5/18/2014,ST_S6,1,16.249144,55.665982,MS_S2,M,0,2,0,4,0,0,0,6,0,1,0,2,0,0,3,0,0,0,0,0,0,0
5/16/2014,ST_S9,1,16.260096,68.492813,MS_S2,M,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,2,2,0,0
5/17/2014,ST_S9,1,16.306639,64.438056,MS_S2,F,0,0,6,0,0,0,0,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0
5/17/2014,ST_S9,1,16.290212,58.056126,MS_S0,F,0,1,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,3,0,0
5/17/2014,ST_S9,1,16.095825,75.78371,MS_S2,M,0,0,4,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5/18/2014,ST_S7,2,16.112252,63.674196,MS_S1,F,0,3,0,2,1,5,0,6,0,2,0,1,0,3,3,0,0,0,0,0,0,0
5/20/2014,ST_S9,1,16.249144,56.766598,MS_S2,F,0,4,0,1,0,1,0,5,0,3,0,0,0,1,3,0,0,0,0,0,0,0
5/16/2014,ST_S25,1,16.098563,65.117043,MS_S2,M,0,0,0,0,0,0,1,6,0,0,0,0,0,0,3,0,0,0,0,2,0,0
5/14/2014,ST_S9,1,16.265572,53.418207,MS_S1,F,0,0,5,0,0,0,0,5,0,0,3,0,0,0,3,0,0,0,0,0,0,0
5/16/2014,ST_S9,1,16.098563,68.668036,MS_S1,F,0,0,6,0,0,0,0,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0
5/15/2014,ST_S26,1,16.246407,59.164956,MS_S2,F,0,0,0,0,0,6,0,6,0,0,0,0,0,3,3,0,0,0,0,1,0,0
5/18/2014,ST_S9,1,16.276523,48.021903,MS_S2,M,2,0,0,2,0,0,0,6,0,0,0,0,0,0,2,1,1,0,2,1,0,0
5/20/2014,ST_S25,1,16.240931,47.843943,MS_S2,F,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/17/2014,ST_S9,1,20.180698,72.320329,MS_S2,M,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,1,0,0
5/13/2014,ST_S9,1,20.19165,38.811773,MS_S2,F,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0
5/19/2014,ST_S9,1,17.051335,46.272416,MS_S1,F,0,3,0,0,3,0,0,6,0,2,0,0,1,0,3,0,0,0,0,0,0,0
5/14/2014,ST_S9,1,18.518823,79.069131,MS_S0,F,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,1,0,0
5/16/2014,ST_S9,1,16.183436,62.510609,MS_S2,F,0,0,6,0,0,0,0,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0
5/13/2014,ST_S9,1,16.268309,40.772074,MS_S2,F,0,0,0,0,6,0,0,6,0,0,0,0,3,0,3,0,0,0,0,0,0,0
5/14/2014,ST_S9,1,16.188912,76.692676,MS_S3,M,0,0,0,0,5,0,0,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0
5/14/2014,ST_S9,1,16.265572,57.182752,MS_S1,F,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,2,0,0
5/16/2014,ST_S16,1,39.26078,56.290212,MS_S3,F,0,0,5,1,0,1,0,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0
5/18/2014,ST_S9,1,24.25462,51.709788,MS_S2,M,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,1,0,0
5/14/2014,ST_S27,1,18.63655,65.916496,MS_S2,F,0,0,0,0,0,2,0,5,0,0,0,0,0,2,3,0,0,0,0,2,0,0
5/13/2014,ST_S9,1,16.268309,48.377823,MS_S2,F,0,0,0,0,0,2,0,2,0,0,0,0,0,2,2,0,0,0,0,1,0,0
5/13/2014,ST_S9,1,16.268309,40.065708,MS_S2,M,0,0,5,0,0,0,0,5,0,0,3,0,0,0,3,0,0,0,0,0,0,0
5/19/2014,ST_S9,1,16.251882,46.888433,MS_S2,M,0,0,7,0,0,0,0,7,0,0,3,0,0,0,3,0,0,0,0,0,0,0
5/15/2014,ST_S16,1,16.257358,47.63039,MS_S2,F,0,6,0,0,0,0,0,6,0,3,0,0,0,0,3,0,0,0,0,0,0,0
5/15/2014,ST_S25,1,16.265572,63.373032,MS_S2,F,0,0,6,0,0,0,0,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0
5/17/2014,ST_S9,1,16.265572,43.315537,MS_S2,M,0,5,0,1,0,0,0,6,0,3,0,0,0,0,3,0,0,0,0,0,0,0
5/18/2014,ST_S25,1,16.25462,47.4141,MS_S2,F,0,0,0,0,6,0,0,6,0,0,0,0,3,0,3,0,0,0,0,0,0,0
5/17/2014,ST_S9,1,16.257358,50.852841,MS_S2,M,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,1,0,0
5/17/2014,ST_S9,2,16.098563,46.488706,MS_S4,M,0,5,0,1,0,0,0,6,0,3,0,0,0,0,3,0,0,0,0,0,0,0
5/14/2014,ST_S9,1,16.265572,48.70089,MS_S2,F,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,2,0,0
5/19/2014,ST_S7,1,16.106776,73.585216,MS_S2,F,0,4,0,1,0,0,0,5,0,3,0,0,0,0,3,0,0,0,0,0,0,0
5/18/2014,ST_S9,1,16.093087,56.372348,MS_S2,M,0,2,0,2,0,0,0,4,0,1,0,2,0,0,3,0,0,0,0,0,0,0
5/18/2014,ST_S9,1,16.249144,71.170431,MS_S0,F,0,0,6,0,0,0,0,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0
5/17/2014,ST_S9,1,16.227242,44.172485,MS_S2,F,0,6,0,0,0,0,0,6,0,3,0,0,0,0,3,0,0,0,0,0,0,0
5/14/2014,ST_S9,1,17.264887,48.005476,MS_S2,F,0,0,6,0,0,0,0,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0
5/14/2014,ST_S25,1,16.188912,55.170431,MS_S3,M,0,0,5,0,0,0,1,5,0,0,3,0,0,0,3,0,0,0,0,0,0,0
5/14/2014,ST_S9,1,16.188912,42.965092,MS_S2,M,0,1,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,1,0,0
5/16/2014,ST_S0,1,16.303901,45.716632,MS_S2,M,0,0,0,0,0,0,1,6,0,0,0,0,0,0,3,0,0,0,1,6,0,0
5/13/2014,ST_S9,1,16.268309,68.262834,MS_S1,M,0,5,0,1,0,0,0,6,0,3,0,0,0,0,3,0,0,0,0,0,0,0
5/18/2014,ST_S9,1,16.273785,40.090349,MS_S4,F,0,3,0,0,0,6,0,6,0,0,0,0,0,3,3,0,0,0,0,2,0,0
5/17/2014,ST_S6,1,16.271047,48.041068,MS_S1,F,0,6,0,0,0,6,0,6,0,3,0,0,0,3,3,0,0,0,0,0,0,0
5/15/2014,ST_S28,1,16.262834,58.970568,MS_S2,M,0,0,0,0,5,0,1,5,0,0,0,0,2,0,2,0,0,0,0,0,0,0
5/13/2014,ST_S14,1,16.194387,74.387406,MS_S3,F,0,0,6,0,0,0,1,6,0,0,3,0,0,0,3,0,0,0,1,0,0,0
5/14/2014,ST_S2,1,16.265572,73.462012,MS_S2,F,0,1,5,0,0,1,0,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0
5/13/2014,ST_S14,1,19.192334,75.156742,MS_S0,M,0,4,0,2,0,0,0,6,0,1,0,2,0,0,3,0,0,0,0,0,0,0
5/17/2014,ST_S14,1,16.194387,52.172485,MS_S1,M,0,0,0,6,0,6,0,6,0,0,0,3,0,3,3,0,0,0,0,0,0,0
5/13/2014,ST_S24,1,16.268309,64.977413,MS_S2,F,0,0,6,0,0,0,0,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0
5/15/2014,ST_S14,1,22.099932,51.657769,MS_S4,F,0,0,0,0,0,3,0,5,0,0,0,0,0,1,3,0,0,0,0,1,0,0
5/13/2014,ST_S14,1,16.208077,57.275838,MS_S2,F,0,3,0,2,0,0,0,5,0,2,0,1,0,0,3,0,0,0,2,0,0,0
5/19/2014,ST_S14,1,16.175222,48.312115,MS_S2,M,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,1,0,0
5/18/2014,ST_S14,1,16.17796,50.447639,MS_S2,F,0,6,0,0,0,0,0,6,0,3,0,0,0,0,3,0,0,0,1,0,0,0
5/16/2014,ST_S14,1,18.932238,99.348392,MS_S2,M,0,0,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,0,0,0
5/13/2014,ST_S14,1,16.268309,71.039014,MS_S1,F,0,0,6,0,0,0,0,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0
5/17/2014,ST_S14,1,21.42642,54.896646,MS_S2,M,0,5,0,1,0,0,0,6,0,2,0,1,0,0,3,0,0,0,0,0,0,0
5/14/2014,ST_S14,1,16.021903,62.338125,MS_S2,M,0,0,1,5,0,0,0,6,0,0,1,2,0,0,3,0,0,0,0,0,0,0
5/13/2014,ST_S29,1,15.107461,74.376454,MS_S1,F,0,1,4,0,0,0,0,5,0,0,2,0,0,0,2,0,0,0,0,0,0,0
5/17/2014,ST_S29,1,14.258727,76.835044,MS_S1,F,0,0,6,0,0,0,0,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0
5/18/2014,ST_S14,1,16.17796,61.754962,MS_S2,F,0,0,0,0,0,6,0,6,0,0,0,0,0,3,3,0,0,0,0,1,0,0
5/18/2014,ST_S23,1,22.176591,62.004107,MS_S1,F,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,2,0,0
5/20/2014,ST_S7,1,17.667351,72.50924,MS_S3,M,0,0,0,0,3,0,0,3,0,0,0,0,2,0,2,0,0,0,0,0,0,0
5/15/2014,ST_S16,1,16.186174,43.285421,MS_S2,F,0,6,0,0,0,6,0,6,0,3,0,0,0,3,3,0,0,0,0,0,0,0
5/19/2014,ST_S4,1,16.175222,69.916496,MS_S0,F,0,6,0,0,0,0,0,6,0,3,0,0,0,0,3,0,0,0,0,1,0,0
5/14/2014,ST_S4,1,24.317591,40.542094,MS_S2,M,0,0,0,0,5,0,0,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0
5/19/2014,ST_S7,1,16.251882,74.428474,MS_S2,M,0,0,6,0,0,0,0,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0
5/15/2014,ST_S4,1,21.347023,47.715264,MS_S2,M,0,0,0,0,5,0,0,6,0,0,0,0,3,0,3,0,0,0,0,1,0,0
5/13/2014,ST_S22,1,21.355236,55.353867,MS_S1,M,0,0,0,0,3,0,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0
5/13/2014,ST_S30,1,16.268309,56.755647,MS_S1,F,0,0,6,0,0,0,0,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0
5/14/2014,ST_S4,1,16.265572,63.720739,MS_S2,M,0,6,0,0,0,0,1,6,0,3,0,0,0,0,3,0,0,0,0,0,0,0
5/20/2014,ST_S26,1,16.240931,46.340862,MS_S1,M,0,0,0,0,0,4,0,4,0,0,0,0,0,2,2,0,0,0,2,1,0,0
5/17/2014,ST_S22,1,17.845311,67.392197,MS_S2,M,0,0,6,0,0,0,0,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0
5/17/2014,ST_S22,1,15.761807,53.812457,MS_S2,M,0,6,0,0,0,0,0,6,0,3,0,0,0,0,3,0,0,0,0,0,0,0
5/17/2014,ST_S22,1,17.429158,64.054757,MS_S2,M,0,0,0,0,0,6,1,6,0,0,0,0,0,3,3,0,0,0,0,1,0,0
5/13/2014,ST_S31,1,15.868583,40.555784,MS_S2,M,0,6,0,0,0,0,1,6,0,3,0,0,0,0,3,0,0,0,0,0,0,0
